class,mean pixel count
0,38544.233215547705
1,5327.871621621622
2,44720.50847457627
3,51356.649253731346
4,12255.350877192983
5,43491.54954954955
6,39182.54682779456
7,42678.68837209302
8,8494.921052631578
9,21334.31906614786
10,42582.11212976022
11,89986.19553072625
12,29401.737068965518
13,55479.06211180124
14,87563.61963190183
15,20250.78761061947
16,35230.77528089887
17,17364.612637362636
18,16795.5593220339
19,63721.0406504065
20,5584.357954545455
21,23493.830508474577
22,66453.24216027875
23,22705.848039215685
24,21711.27254509018
25,30173.356389214536
26,18861.233333333334
27,8937.384615384615
28,47372.497603833865
29,38429.39519650655
30,60617.65071770335
31,10800.9125
32,2659.2288828337873
33,67123.71232876713
34,25412.123626373625
35,960.7884615384615
36,54199.27869858809
37,6371.255172413793
38,29109.97435897436
39,35420.57211538462
40,40209.88524590164
41,20906.13294797688
42,51430.75657894737
43,16466.618181818183
44,18612.924324324325
45,5316.197478991597
46,54569.088471849864
47,59501.41333333333
48,88476.395
49,43271.62745098039
50,17926.49704142012
51,75826.30222222222
52,35784.770075497596
53,21386.920634920636
54,43812.742358078605
55,41620.919478527605
56,62840.21951219512
57,22051.15406162465
58,19742.964467005077
