0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,255
0,2575,2046,1871,509,651,1974,884,1477,1808,945,968,1366,528,1941,196,142,69,243,880,2319
1,2046,2107,1749,491,618,1830,819,1366,1654,844,894,1286,498,1696,166,128,55,226,842,1937
2,1871,1749,2243,474,620,2053,948,1611,1931,819,1116,1397,522,1799,198,135,68,236,868,2096
3,509,491,474,537,277,498,222,383,498,252,295,345,144,451,48,42,11,55,201,500
4,651,618,620,277,698,646,313,540,644,319,389,435,171,587,72,50,21,70,260,655
5,1974,1830,2053,498,646,2271,974,1647,1964,904,1120,1402,535,1845,203,143,72,237,888,2150
6,884,819,948,222,313,974,977,872,920,444,640,678,296,882,132,98,43,124,419,961
7,1477,1366,1611,383,540,1647,872,1678,1560,702,984,1107,448,1467,174,124,56,201,695,1634
8,1808,1654,1931,498,644,1964,920,1560,2110,885,1130,1275,503,1754,202,139,63,226,805,1988
9,945,844,819,252,319,904,444,702,885,966,492,564,241,865,95,73,22,102,379,917
10,968,894,1116,295,389,1120,640,984,1130,492,1156,733,331,1006,138,95,47,146,462,1124
11,1366,1286,1397,345,435,1402,678,1107,1275,564,733,1508,414,1234,145,113,52,189,703,1436
12,528,498,522,144,171,535,296,448,503,241,331,414,557,494,58,44,14,134,470,546
13,1941,1696,1799,451,587,1845,882,1467,1754,865,1006,1234,494,2100,200,133,60,225,780,1948
14,196,166,198,48,72,203,132,174,202,95,138,145,58,200,214,16,3,31,89,202
15,142,128,135,42,50,143,98,124,139,73,95,113,44,133,16,149,6,20,62,144
16,69,55,68,11,21,72,43,56,63,22,47,52,14,60,3,6,76,4,26,72
17,243,226,236,55,70,237,124,201,226,102,146,189,134,225,31,20,4,255,135,247
18,880,842,868,201,260,888,419,695,805,379,462,703,470,780,89,62,26,135,939,910
255,2319,1937,2096,500,655,2150,961,1634,1988,917,1124,1436,546,1948,202,144,72,247,910,2635
