,w_time,step_num,val,run_name,metric,coreset_algorithm,repitition,coreset_frac,mode,
0,1694078043,3,0.3162017465,static_random_03,valid_mIoU,adaptiverandom,b,0.3,static,
1,1694079153,3,0.3431748748,static_random_03,valid_mIoU,adaptiverandom,b,0.3,static,
2,1694080263,6,0.3740692437,static_random_03,valid_mIoU,adaptiverandom,b,0.3,static,
3,1694081373,9,0.3842523098,static_random_03,valid_mIoU,adaptiverandom,b,0.3,static,
4,1694082484,12,0.3949117959,static_random_03,valid_mIoU,adaptiverandom,b,0.3,static,
5,1694083594,15,0.3855083883,static_random_03,valid_mIoU,adaptiverandom,b,0.3,static,
6,1694084704,18,0.4003442824,static_random_03,valid_mIoU,adaptiverandom,b,0.3,static,
7,1694085812,21,0.4050570726,static_random_03,valid_mIoU,adaptiverandom,b,0.3,static,
8,1694086923,24,0.4128833413,static_random_03,valid_mIoU,adaptiverandom,b,0.3,static,
9,1694088033,27,0.4112347066,static_random_03,valid_mIoU,adaptiverandom,b,0.3,static,
10,1694089142,30,0.4020001888,static_random_03,valid_mIoU,adaptiverandom,b,0.3,static,
11,1694090251,33,0.4182108045,static_random_03,valid_mIoU,adaptiverandom,b,0.3,static,
12,1694091360,36,0.4210957289,static_random_03,valid_mIoU,adaptiverandom,b,0.3,static,
13,1694092477,39,0.4237387776,static_random_03,valid_mIoU,adaptiverandom,b,0.3,static,
14,1694093590,42,0.4219529629,static_random_03,valid_mIoU,adaptiverandom,b,0.3,static,
15,1694094703,45,0.4227926135,static_random_03,valid_mIoU,adaptiverandom,b,0.3,static,
16,1694095818,48,0.4213618338,static_random_03,valid_mIoU,adaptiverandom,b,0.3,static,
17,1694096930,51,0.4216757715,static_random_03,valid_mIoU,adaptiverandom,b,0.3,static,
18,1694098042,54,0.4253807366,static_random_03,valid_mIoU,adaptiverandom,b,0.3,static,
19,1694099157,57,0.4238911867,static_random_03,valid_mIoU,adaptiverandom,b,0.3,static,
20,1694122957,3,0.33895494,static_random_05,valid_mIoU,adaptiverandom,c,0.5,static,
21,1694124488,3,0.38322954,static_random_05,valid_mIoU,adaptiverandom,c,0.5,static,
22,1694126017,6,0.39912133,static_random_05,valid_mIoU,adaptiverandom,c,0.5,static,
23,1694127548,9,0.40300817,static_random_05,valid_mIoU,adaptiverandom,c,0.5,static,
24,1694129088,12,0.42920421,static_random_05,valid_mIoU,adaptiverandom,c,0.5,static,
25,1694130694,15,0.41374333,static_random_05,valid_mIoU,adaptiverandom,c,0.5,static,
26,1694132265,18,0.41721432,static_random_05,valid_mIoU,adaptiverandom,c,0.5,static,
27,1694133836,21,0.42521742,static_random_05,valid_mIoU,adaptiverandom,c,0.5,static,
28,1694135393,24,0.43780434,static_random_05,valid_mIoU,adaptiverandom,c,0.5,static,
29,1694136985,27,0.41312105,static_random_05,valid_mIoU,adaptiverandom,c,0.5,static,
30,1694138597,30,0.424548,static_random_05,valid_mIoU,adaptiverandom,c,0.5,static,
