SVD_Rank_Index,ViT,Oracle Context,Oracle Spatial,Segformer
0,-0.20328066396044672,4.632682828683893,4.633148865647137,-3.9832763345425652
1,-0.6527058832655921,2.5460851666513853,2.5465981369473165,-5.626448848909162
2,-0.7455473099099227,1.7707971657062822,1.740485089432676,-5.646772620669069
3,-1.1147667671992354,1.438845359614404,1.4533899634048237,-6.075359966524835
4,-1.3834193113994726,0.8896863888651452,0.9235652511765832,-6.245710571226175
5,-1.528780948766861,0.6703108584003663,0.6613865060914342,-6.5074532699677725
6,-1.7038561855323846,0.6103463222925883,0.5981655048169136,-6.683844159934454
7,-1.923760057746605,0.14120130191110392,0.14378006010314043,-6.712204622729819
8,-1.9887329996627696,0.08498495084726,0.06485393915357823,-6.794309907065729
9,-2.0679940525746505,0.04115209695060037,0.038434892415737824,-6.836127152695797
10,-2.231028633111935,-0.08229925136770193,-0.06420318976889403,-6.883633625082232
11,-2.330767715419032,-0.47155288759309977,-0.4874033740487693,-6.925159117732809
12,-2.413817521494709,-0.5428142368741631,-0.5431777518548359,-7.007787977917221
13,-2.539364684408782,-0.6286331655987458,-0.652403096761342,-7.061486597900861
14,-2.5859871596261583,-0.7220243951440145,-0.6981030203548547,-7.135210398887778
15,-2.6045208184699176,-0.7914991308172542,-0.773206237374531,-7.181790359798036
16,-2.6521639010662104,-1.0035976498471266,-0.9701457124793618,-7.295879361095299
17,-2.718798289979285,-1.0458026209499975,-1.0250120575156305,-7.316389271150892
18,-2.8435447816165405,-1.1815443399431087,-1.185312978693804,-7.361557686814152
19,-2.875648187862957,-1.2657347674581734,-1.2862147340207435,-7.386579543710197
20,-2.94547399940332,-1.3474425432731258,-1.3249048625362347,-7.442360837432259
21,-2.989011752303139,-1.4358731958705813,-1.4520034138484077,-7.458150950253641
22,-3.0038658053079104,-1.462688860502253,-1.4640700275511516,-7.493590089621968
23,-3.01159388106927,-1.5939313846141763,-1.614405463010912,-7.514443304017383
24,-3.046616819992751,-1.6709763892829301,-1.6555889016312406,-7.537871754828573
25,-3.0951775839222275,-1.714208478812442,-1.6923334570053459,-7.567855485690494
26,-3.131639182455157,-1.7341230511876269,-1.7185908219891408,-7.57981168119511
27,-3.161963515145936,-1.8600755641666948,-1.8331599780620058,-7.593583927924425
28,-3.238559258715083,-1.9003371801266329,-1.9011390193386088,-7.600595107653021
29,-3.247878706655948,-1.952549594697136,-1.959391777748326,-7.647181499284088
30,-3.288549104500184,-2.0211083901235267,-2.0196724951685163,-7.658102479712794
31,-3.3143301500815507,-2.0407477022988987,-2.032285840792931,-7.68286895667578
32,-3.3653181569200097,-2.062131985703198,-2.067531917106093,-7.6956361192918505
33,-3.368458737132588,-2.1256639993142588,-2.147432162390467,-7.7020712331560715
34,-3.4191539274737974,-2.2837431323869812,-2.2682036321863244,-7.716419823268995
35,-3.4380941355128307,-2.31819460095429,-2.3095731116376803,-7.740736282553416
36,-3.475648040753608,-2.3482616634721785,-2.343376267129,-7.761476799589035
37,-3.4994154106130595,-2.387378951578384,-2.35813439703888,-7.776217946316168
38,-3.507640775144067,-2.4160787236911245,-2.4040976398168126,-7.790850553507614
