,w_time,step_num,val,run_name,metric,coreset_algorithm,repitition,coreset_frac,sim_metric,embedding,experiment_name,epsilon
661,1693706613,3,1.081450224,milo_ViT_05,valid_loss,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
662,1693708142,6,0.9427421093,milo_ViT_05,valid_loss,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
663,1693709672,9,0.9296411276,milo_ViT_05,valid_loss,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
664,1693711203,12,0.8728497624,milo_ViT_05,valid_loss,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
665,1693712733,15,0.8699945211,milo_ViT_05,valid_loss,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
666,1693714262,18,0.8684853911,milo_ViT_05,valid_loss,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
667,1693715792,21,0.8565610647,milo_ViT_05,valid_loss,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
668,1693717322,24,0.8339653015,milo_ViT_05,valid_loss,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
669,1693718852,27,0.8452435732,milo_ViT_05,valid_loss,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
670,1693720383,30,0.8229753375,milo_ViT_05,valid_loss,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
671,1693721914,33,0.8238259554,milo_ViT_05,valid_loss,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
672,1693723445,36,0.8461709023,milo_ViT_05,valid_loss,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
673,1693724975,39,0.8591938615,milo_ViT_05,valid_loss,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
674,1693726505,42,0.873165071,milo_ViT_05,valid_loss,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
675,1693728035,45,0.8327709436,milo_ViT_05,valid_loss,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
676,1693729565,48,0.8288985491,milo_ViT_05,valid_loss,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
677,1693731096,51,0.8544881344,milo_ViT_05,valid_loss,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
678,1693732628,54,0.8735486269,milo_ViT_05,valid_loss,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
679,1693734158,57,0.8948271871,milo_ViT_05,valid_loss,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
680,1693735688,60,0.8662749529,milo_ViT_05,valid_loss,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
681,1693645294,3,1.06792748,milo_ViT_05,valid_loss,milo,b,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
682,1693646828,6,0.9445564747,milo_ViT_05,valid_loss,milo,b,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
683,1693648361,9,0.9453484416,milo_ViT_05,valid_loss,milo,b,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
684,1693649896,12,0.8739681244,milo_ViT_05,valid_loss,milo,b,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
685,1693651428,15,0.8675326705,milo_ViT_05,valid_loss,milo,b,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
686,1693652961,18,0.8732627034,milo_ViT_05,valid_loss,milo,b,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
687,1693654494,21,0.8607552648,milo_ViT_05,valid_loss,milo,b,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
688,1693656027,24,0.828199029,milo_ViT_05,valid_loss,milo,b,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
689,1693657559,27,0.8696756363,milo_ViT_05,valid_loss,milo,b,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
690,1693659092,30,0.8361731172,milo_ViT_05,valid_loss,milo,b,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
691,1693660625,33,0.8129143119,milo_ViT_05,valid_loss,milo,b,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
692,1693662157,36,0.8512977958,milo_ViT_05,valid_loss,milo,b,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
693,1693663689,39,0.8578550816,milo_ViT_05,valid_loss,milo,b,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
694,1693665220,42,0.8583437204,milo_ViT_05,valid_loss,milo,b,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
695,1693666752,45,0.8479242325,milo_ViT_05,valid_loss,milo,b,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
