,0.1,0.001,0.00001,trainset
aeroplane,0.049479583666933544,0.0522017614091273,0.053923138510808655,0.05604483586869496
bicycle,0.037029623698959166,0.0366693354683747,0.03775020016012811,0.04043234587670136
bird,0.06273018414731785,0.06088871096877502,0.060048038430744605,0.0666533226581265
boat,0.042273819055244195,0.04231385108086469,0.04139311449159328,0.04383506805444355
bottle,0.042273819055244195,0.041513210568454764,0.040672538030424345,0.03742994395516413
bus,0.039031224979983986,0.04007205764611689,0.03987189751801442,0.036028823058446756
car,0.06869495596477182,0.06793434747798238,0.06873498799039232,0.0678542834267414
cat,0.08795036028823058,0.08678943154523619,0.08394715772618096,0.08827061649319455
chair,0.039511609287429944,0.03855084067253803,0.03847077662129704,0.03722978382706165
cow,0.020656525220176143,0.019375500400320256,0.02057646116893515,0.02502001601281025
diningtable,0.04495596477181745,0.046637309847878304,0.04707766212970377,0.03883106485188151
dog,0.09139311449159328,0.09099279423538832,0.09007205764611691,0.09587670136108888
horse,0.039511609287429944,0.039031224979983986,0.04031224979983988,0.041633306645316254
motorbike,0.045156124899919936,0.04347477982385908,0.04395516413130505,0.043034427542033626
person,0.10332265812650121,0.10608486789431545,0.10504403522818255,0.09847878302642114
pottedplant,0.029383506805444357,0.03022417934347478,0.029383506805444364,0.0300240192153723
sheep,0.02742193755004003,0.027061649319455563,0.027862289831865495,0.03022417934347478
sofa,0.043394715772618095,0.04199359487590072,0.042714171337069666,0.041032826261008806
train,0.045356285028022414,0.047157726180944756,0.04707766212970377,0.044435548438751
tvmonitor,0.04047237790232185,0.041032826261008806,0.04111289031224981,0.03763010408326661
