class,0.1,0.001,0.00001,trainset: pixel,0.1,0.001,0.00001,trainset: occurence
0,0.01142849730014774,0.011690251484774098,0.011930532316857853,0.012091583730026242,0.011229451124107458,0.011231672847493988,0.011668589134231631,0.01246119733924612
1,0.0010566757931312746,0.001028785119325205,0.0009020104298105364,0.0010233602710279376,0.006689792798873277,0.006552565628157346,0.006599315847556237,0.00598669623059867
2,0.0032699742498952626,0.0030754104677647325,0.002854260842837908,0.0033513782350508294,0.0026636166051181845,0.0027386041690277167,0.002681472313710254,0.002483370288248337
3,0.008506195208879835,0.009000843958661048,0.009058455564945035,0.007585331224908243,0.006174925094356432,0.006309188777374221,0.0062715579344732025,0.0056762749445676275
4,0.0005516260889110542,0.0004821028665882211,0.00044126564361604326,0.0005366686355525688,0.002210113164775874,0.0020448701362865635,0.0020066016549484056,0.002572062084257206
5,0.00987287884461334,0.009830257724329322,0.010489350420417853,0.010251767645127998,0.008707286293027874,0.008735517681323284,0.008917887552192517,0.009667405764966741
6,0.01322306953424077,0.013595796648851497,0.013429354458216516,0.012966047119155893,0.013835183384890839,0.012929784726243749,0.013027971123977095,0.014944567627494456
7,0.009504099873090126,0.009444504650185915,0.009100500762495302,0.010432108187598618,0.009022069463014247,0.009116863707324493,0.008961349753856521,0.009711751662971176
8,0.002124704523740651,0.0019907026585988118,0.0021125406371715104,0.001865352344491523,0.009144759994920275,0.009264304344855848,0.009047719590655144,0.008647450110864745
9,0.006419204349105467,0.006631807274966486,0.006268899841729442,0.00644837736379213,0.012123099662782497,0.012488118736756525,0.011910390622398773,0.01130820399113082
10,0.06620348654825232,0.06461099565408257,0.06466800687606711,0.06507722937365858,0.06266440204784063,0.06268411145157107,0.06329963682333165,0.0624390243902439
11,0.018544960635147587,0.01937003770528557,0.019619653382344525,0.016183064298131086,0.008568589316706782,0.008536095609914404,0.008381857452292524,0.007893569844789358
12,0.007310695259064991,0.0069031512762866825,0.006433878656738635,0.006857894687024135,0.010201493037289684,0.009975009078837804,0.00977404174642681,0.010332594235033259
13,0.03168132590176946,0.032814148982818245,0.03237929615913645,0.029333592741917245,0.02162574450061247,0.021726513167369683,0.021606793955101317,0.021596452328159644
14,0.04927032009718085,0.04861679053360882,0.04855405086998754,0.04722632825549239,0.021162657204964474,0.020730847567847762,0.020743698609051134,0.021507760532150776
15,0.0052833495866454454,0.0051539219391478356,0.005234012338318808,0.005148711446168611,0.011240029824623753,0.011084039683909825,0.01150349884875902,0.010066518847006652
16,0.01790703300915819,0.01838365405631407,0.018104627435571397,0.01542878592625789,0.021022208294088345,0.02152831063371049,0.020863637008952215,0.019778270509977828
17,0.007817534676255355,0.007670503606099377,0.007925795676093668,0.007157261172452623,0.016478111644703836,0.016413876729162055,0.016279960709736488,0.016363636363636365
18,0.0011196750447591735,0.0011057210504809747,0.0011138629278219874,0.0011875567182262879,0.0028730494345557004,0.0029898279001079877,0.0029840924582977386,0.0025277161862527716
19,0.00666261337038776,0.006411455887644047,0.006861448404375174,0.008034175206590909,0.0045948176991016726,0.004298117028601818,0.00444564629784679,0.005543237250554324
20,0.0011309007190021027,0.001164605062609903,0.0011131345523169175,0.0009383158873854141,0.008304981169443223,0.009038551636395966,0.009039400264007808,0.007760532150776054
21,0.004209333955971656,0.004445838245393119,0.003964346908378405,0.004581436139569734,0.0075025704459582235,0.00786858103493297,0.007836804892727778,0.007583148558758315
22,0.04226422708060901,0.04165545705050171,0.04231498158747576,0.040429894668078226,0.02427980058285923,0.02421453495666623,0.023821557750995807,0.02541019955654102
23,0.005803723343433804,0.006063892346097584,0.006018251122916236,0.0051222972631986136,0.010481065136171794,0.010356065833233149,0.010189426386315332,0.009268292682926829
