,w_time,step_num,valid_mIoU,submodular function,metric,coreset_algorithm,repitition,coreset_frac,sim_metric,embedding,experiment_name,epsilon
771,1695140243,3,0.3354566693,dispmin,valid_mIoU,milo,b,0.5,fronerbius,oracle_spat,submod_exploitation_experiment,0.001
772,1695141777,6,0.3699572384,dispmin,valid_mIoU,milo,b,0.5,fronerbius,oracle_spat,submod_exploitation_experiment,0.001
773,1695143311,9,0.403881669,dispmin,valid_mIoU,milo,b,0.5,fronerbius,oracle_spat,submod_exploitation_experiment,0.001
774,1695144846,12,0.4150580764,dispmin,valid_mIoU,milo,b,0.5,fronerbius,oracle_spat,submod_exploitation_experiment,0.001
775,1695146380,15,0.4266434908,dispmin,valid_mIoU,milo,b,0.5,fronerbius,oracle_spat,submod_exploitation_experiment,0.001
776,1695147914,18,0.4323350489,dispmin,valid_mIoU,milo,b,0.5,fronerbius,oracle_spat,submod_exploitation_experiment,0.001
777,1695149449,21,0.4355634749,dispmin,valid_mIoU,milo,b,0.5,fronerbius,oracle_spat,submod_exploitation_experiment,0.001
778,1695150981,24,0.4534670115,dispmin,valid_mIoU,milo,b,0.5,fronerbius,oracle_spat,submod_exploitation_experiment,0.001
779,1695165066,3,0.3396010995,dispsum,valid_mIoU,milo,b,0.5,fronerbius,oracle_spat,submod_exploitation_experiment,0.001
780,1695166600,6,0.3797090054,dispsum,valid_mIoU,milo,b,0.5,fronerbius,oracle_spat,submod_exploitation_experiment,0.001
781,1695168135,9,0.3986795843,dispsum,valid_mIoU,milo,b,0.5,fronerbius,oracle_spat,submod_exploitation_experiment,0.001
782,1695169669,12,0.399846822,dispsum,valid_mIoU,milo,b,0.5,fronerbius,oracle_spat,submod_exploitation_experiment,0.001
783,1695171203,15,0.4080598354,dispsum,valid_mIoU,milo,b,0.5,fronerbius,oracle_spat,submod_exploitation_experiment,0.001
784,1695172737,18,0.4056795835,dispsum,valid_mIoU,milo,b,0.5,fronerbius,oracle_spat,submod_exploitation_experiment,0.001
785,1695174272,21,0.4241910875,dispsum,valid_mIoU,milo,b,0.5,fronerbius,oracle_spat,submod_exploitation_experiment,0.001
786,1695175806,24,0.4348275959,dispsum,valid_mIoU,milo,b,0.5,fronerbius,oracle_spat,submod_exploitation_experiment,0.001
787,1695089369,3,0.3320724368,fl,valid_mIoU,milo,b,0.5,fronerbius,oracle_spat,submod_exploitation_experiment,0.001
788,1695090903,6,0.374194622,fl,valid_mIoU,milo,b,0.5,fronerbius,oracle_spat,submod_exploitation_experiment,0.001
789,1695092437,9,0.3819002509,fl,valid_mIoU,milo,b,0.5,fronerbius,oracle_spat,submod_exploitation_experiment,0.001
790,1695093970,12,0.407569319,fl,valid_mIoU,milo,b,0.5,fronerbius,oracle_spat,submod_exploitation_experiment,0.001
791,1695095504,15,0.4129857123,fl,valid_mIoU,milo,b,0.5,fronerbius,oracle_spat,submod_exploitation_experiment,0.001
792,1695097038,18,0.4142563641,fl,valid_mIoU,milo,b,0.5,fronerbius,oracle_spat,submod_exploitation_experiment,0.001
793,1695098572,21,0.4241444767,fl,valid_mIoU,milo,b,0.5,fronerbius,oracle_spat,submod_exploitation_experiment,0.001
794,1695100106,24,0.4243272543,fl,valid_mIoU,milo,b,0.5,fronerbius,oracle_spat,submod_exploitation_experiment,0.001
795,1695177738,3,0.3445588648,dispsum,valid_mIoU,milo,b,0.5,fronerbius,oracle_spat,submod_exploitation_experiment,0.001
796,1695179272,6,0.3752534986,dispsum,valid_mIoU,milo,b,0.5,fronerbius,oracle_spat,submod_exploitation_experiment,0.001
797,1695180806,9,0.3996841908,dispsum,valid_mIoU,milo,b,0.5,fronerbius,oracle_spat,submod_exploitation_experiment,0.001
798,1695182340,12,0.4041430652,dispsum,valid_mIoU,milo,b,0.5,fronerbius,oracle_spat,submod_exploitation_experiment,0.001
799,1695183873,15,0.402949214,dispsum,valid_mIoU,milo,b,0.5,fronerbius,oracle_spat,submod_exploitation_experiment,0.001
800,1695185406,18,0.4072516561,dispsum,valid_mIoU,milo,b,0.5,fronerbius,oracle_spat,submod_exploitation_experiment,0.001
801,1695186939,21,0.427870512,dispsum,valid_mIoU,milo,b,0.5,fronerbius,oracle_spat,submod_exploitation_experiment,0.001
802,1695188472,24,0.4362005889,dispsum,valid_mIoU,milo,b,0.5,fronerbius,oracle_spat,submod_exploitation_experiment,0.001
803,1695127557,3,0.3368368745,dispsum,valid_mIoU,milo,b,0.5,fronerbius,oracle_spat,submod_exploitation_experiment,0.001
804,1695129093,6,0.3702667356,dispsum,valid_mIoU,milo,b,0.5,fronerbius,oracle_spat,submod_exploitation_experiment,0.001
805,1695130632,9,0.3991405964,dispsum,valid_mIoU,milo,b,0.5,fronerbius,oracle_spat,submod_exploitation_experiment,0.001
806,1695132168,12,0.4186919034,dispsum,valid_mIoU,milo,b,0.5,fronerbius,oracle_spat,submod_exploitation_experiment,0.001
807,1695133705,15,0.4318247139,dispsum,valid_mIoU,milo,b,0.5,fronerbius,oracle_spat,submod_exploitation_experiment,0.001
808,1695135241,18,0.4190635383,dispsum,valid_mIoU,milo,b,0.5,fronerbius,oracle_spat,submod_exploitation_experiment,0.001
809,1695136776,21,0.437422961,dispsum,valid_mIoU,milo,b,0.5,fronerbius,oracle_spat,submod_exploitation_experiment,0.001
810,1695138312,24,0.4565367699,dispsum,valid_mIoU,milo,b,0.5,fronerbius,oracle_spat,submod_exploitation_experiment,0.001
811,1695077447,3,0.3467856944,fl,valid_mIoU,milo,a,0.5,fronerbius,oracle_spat,submod_exploitation_experiment,0.001
812,1695078872,6,0.385699898,fl,valid_mIoU,milo,a,0.5,fronerbius,oracle_spat,submod_exploitation_experiment,0.001
813,1695080297,9,0.3849497437,fl,valid_mIoU,milo,a,0.5,fronerbius,oracle_spat,submod_exploitation_experiment,0.001
814,1695081723,12,0.4135798514,fl,valid_mIoU,milo,a,0.5,fronerbius,oracle_spat,submod_exploitation_experiment,0.001
815,1695083148,15,0.4019041061,fl,valid_mIoU,milo,a,0.5,fronerbius,oracle_spat,submod_exploitation_experiment,0.001
816,1695084572,18,0.4268225133,fl,valid_mIoU,milo,a,0.5,fronerbius,oracle_spat,submod_exploitation_experiment,0.001
