,w_time,step_num,valid_mIoU,run_name,metric,coreset_algorithm,repitition,coreset_frac,sim_metric,embedding,experiment_name,epsilon
180,1694519307,0,0.342695415,ar_05,valid_mIoU,adaptiverandom,,0.5,cossim,,adaptive_random_profiling,0.001
181,1694520837,1,0.3713939488,ar_05,valid_mIoU,adaptiverandom,,0.5,cossim,,adaptive_random_profiling,0.001
182,1694522368,2,0.4041308165,ar_05,valid_mIoU,adaptiverandom,,0.5,cossim,,adaptive_random_profiling,0.001
183,1694523898,3,0.4219196439,ar_05,valid_mIoU,adaptiverandom,,0.5,cossim,,adaptive_random_profiling,0.001
184,1694525428,4,0.4288752377,ar_05,valid_mIoU,adaptiverandom,,0.5,cossim,,adaptive_random_profiling,0.001
185,1694526959,5,0.4250705838,ar_05,valid_mIoU,adaptiverandom,,0.5,cossim,,adaptive_random_profiling,0.001
186,1694528490,6,0.4295772314,ar_05,valid_mIoU,adaptiverandom,,0.5,cossim,,adaptive_random_profiling,0.001
187,1694530021,7,0.4429583848,ar_05,valid_mIoU,adaptiverandom,,0.5,cossim,,adaptive_random_profiling,0.001
188,1694531550,8,0.4475361705,ar_05,valid_mIoU,adaptiverandom,,0.5,cossim,,adaptive_random_profiling,0.001
189,1694533080,9,0.4480318129,ar_05,valid_mIoU,adaptiverandom,,0.5,cossim,,adaptive_random_profiling,0.001
190,1694534611,10,0.4543502033,ar_05,valid_mIoU,adaptiverandom,,0.5,cossim,,adaptive_random_profiling,0.001
191,1694536141,11,0.4530992806,ar_05,valid_mIoU,adaptiverandom,,0.5,cossim,,adaptive_random_profiling,0.001
192,1694537671,12,0.4462486207,ar_05,valid_mIoU,adaptiverandom,,0.5,cossim,,adaptive_random_profiling,0.001
193,1694539201,13,0.4668575823,ar_05,valid_mIoU,adaptiverandom,,0.5,cossim,,adaptive_random_profiling,0.001
194,1694540730,14,0.4624474049,ar_05,valid_mIoU,adaptiverandom,,0.5,cossim,,adaptive_random_profiling,0.001
195,1694542261,15,0.4623551369,ar_05,valid_mIoU,adaptiverandom,,0.5,cossim,,adaptive_random_profiling,0.001
196,1694543791,16,0.4662209749,ar_05,valid_mIoU,adaptiverandom,,0.5,cossim,,adaptive_random_profiling,0.001
197,1694545320,17,0.4652951658,ar_05,valid_mIoU,adaptiverandom,,0.5,cossim,,adaptive_random_profiling,0.001
198,1694546850,18,0.470788002,ar_05,valid_mIoU,adaptiverandom,,0.5,cossim,,adaptive_random_profiling,0.001
199,1694548381,19,0.472040832,ar_05,valid_mIoU,adaptiverandom,,0.5,cossim,,adaptive_random_profiling,0.001
288,1694549959,0,0.3231083751,ar_05,valid_mIoU,adaptiverandom,,0.5,cossim,,adaptive_random_profiling,0.001
289,1694551490,1,0.3743902445,ar_05,valid_mIoU,adaptiverandom,,0.5,cossim,,adaptive_random_profiling,0.001
290,1694553023,2,0.3940882981,ar_05,valid_mIoU,adaptiverandom,,0.5,cossim,,adaptive_random_profiling,0.001
291,1694554553,3,0.4073711634,ar_05,valid_mIoU,adaptiverandom,,0.5,cossim,,adaptive_random_profiling,0.001
292,1694556082,4,0.4209997952,ar_05,valid_mIoU,adaptiverandom,,0.5,cossim,,adaptive_random_profiling,0.001
293,1694557611,5,0.4339926243,ar_05,valid_mIoU,adaptiverandom,,0.5,cossim,,adaptive_random_profiling,0.001
294,1694559145,6,0.4132148325,ar_05,valid_mIoU,adaptiverandom,,0.5,cossim,,adaptive_random_profiling,0.001
295,1694560676,7,0.4370137751,ar_05,valid_mIoU,adaptiverandom,,0.5,cossim,,adaptive_random_profiling,0.001
296,1694562207,8,0.4405463934,ar_05,valid_mIoU,adaptiverandom,,0.5,cossim,,adaptive_random_profiling,0.001
297,1694563740,9,0.4610009491,ar_05,valid_mIoU,adaptiverandom,,0.5,cossim,,adaptive_random_profiling,0.001
298,1694565272,10,0.4392106831,ar_05,valid_mIoU,adaptiverandom,,0.5,cossim,,adaptive_random_profiling,0.001
299,1694566803,11,0.4584196508,ar_05,valid_mIoU,adaptiverandom,,0.5,cossim,,adaptive_random_profiling,0.001
300,1694568334,12,0.458758831,ar_05,valid_mIoU,adaptiverandom,,0.5,cossim,,adaptive_random_profiling,0.001
301,1694569865,13,0.4558263719,ar_05,valid_mIoU,adaptiverandom,,0.5,cossim,,adaptive_random_profiling,0.001
302,1694571395,14,0.4629879296,ar_05,valid_mIoU,adaptiverandom,,0.5,cossim,,adaptive_random_profiling,0.001
303,1694572927,15,0.4649398327,ar_05,valid_mIoU,adaptiverandom,,0.5,cossim,,adaptive_random_profiling,0.001
304,1694574458,16,0.4656397402,ar_05,valid_mIoU,adaptiverandom,,0.5,cossim,,adaptive_random_profiling,0.001
305,1694575990,17,0.4630101323,ar_05,valid_mIoU,adaptiverandom,,0.5,cossim,,adaptive_random_profiling,0.001
306,1694577522,18,0.4658068717,ar_05,valid_mIoU,adaptiverandom,,0.5,cossim,,adaptive_random_profiling,0.001
307,1694579055,19,0.4691428542,ar_05,valid_mIoU,adaptiverandom,,0.5,cossim,,adaptive_random_profiling,0.001
1549,1693154506,0,0.3540260494,craig_ViT_05,valid_mIoU,craig,b,0.5,cossim,ViT,,
1550,1693156028,1,0.3807396889,craig_ViT_05,valid_mIoU,craig,b,0.5,cossim,ViT,,
1551,1693157548,2,0.3970681727,craig_ViT_05,valid_mIoU,craig,b,0.5,cossim,ViT,,
1552,1693159069,3,0.3884299099,craig_ViT_05,valid_mIoU,craig,b,0.5,cossim,ViT,,
1553,1693160588,4,0.4097576439,craig_ViT_05,valid_mIoU,craig,b,0.5,cossim,ViT,,
1554,1693162109,5,0.4157682061,craig_ViT_05,valid_mIoU,craig,b,0.5,cossim,ViT,,
1555,1693163629,6,0.4241109192,craig_ViT_05,valid_mIoU,craig,b,0.5,cossim,ViT,,
1556,1693165150,7,0.4254425168,craig_ViT_05,valid_mIoU,craig,b,0.5,cossim,ViT,,
1557,1693166669,8,0.4172237813,craig_ViT_05,valid_mIoU,craig,b,0.5,cossim,ViT,,
1558,1693168189,9,0.4248011708,craig_ViT_05,valid_mIoU,craig,b,0.5,cossim,ViT,,
1559,1693169711,10,0.4229170084,craig_ViT_05,valid_mIoU,craig,b,0.5,cossim,ViT,,
1560,1693171232,11,0.4338166118,craig_ViT_05,valid_mIoU,craig,b,0.5,cossim,ViT,,
1561,1693172752,12,0.4320070148,craig_ViT_05,valid_mIoU,craig,b,0.5,cossim,ViT,,
1562,1693174271,13,0.4346111417,craig_ViT_05,valid_mIoU,craig,b,0.5,cossim,ViT,,
1563,1693175791,14,0.4405190945,craig_ViT_05,valid_mIoU,craig,b,0.5,cossim,ViT,,
1564,1693177312,15,0.4429505765,craig_ViT_05,valid_mIoU,craig,b,0.5,cossim,ViT,,
1565,1693178834,16,0.4447928369,craig_ViT_05,valid_mIoU,craig,b,0.5,cossim,ViT,,
1566,1693180354,17,0.44237113,craig_ViT_05,valid_mIoU,craig,b,0.5,cossim,ViT,,
1567,1693181874,18,0.4476805329,craig_ViT_05,valid_mIoU,craig,b,0.5,cossim,ViT,,
1568,1693183397,19,0.4501933753,craig_ViT_05,valid_mIoU,craig,b,0.5,cossim,ViT,,
1613,1693185667,0,0.3466079831,craig_ViT_05,valid_mIoU,craig,c,0.5,cossim,ViT,,
1614,1693187190,1,0.380182296,craig_ViT_05,valid_mIoU,craig,c,0.5,cossim,ViT,,
1615,1693188711,2,0.3867589533,craig_ViT_05,valid_mIoU,craig,c,0.5,cossim,ViT,,
1616,1693190233,3,0.3984365463,craig_ViT_05,valid_mIoU,craig,c,0.5,cossim,ViT,,
1617,1693191754,4,0.4129836857,craig_ViT_05,valid_mIoU,craig,c,0.5,cossim,ViT,,
1618,1693193276,5,0.4186576903,craig_ViT_05,valid_mIoU,craig,c,0.5,cossim,ViT,,
1619,1693194798,6,0.4229516387,craig_ViT_05,valid_mIoU,craig,c,0.5,cossim,ViT,,
1620,1693196321,7,0.4226890206,craig_ViT_05,valid_mIoU,craig,c,0.5,cossim,ViT,,
1621,1693197842,8,0.4267207682,craig_ViT_05,valid_mIoU,craig,c,0.5,cossim,ViT,,
1622,1693199364,9,0.4308544993,craig_ViT_05,valid_mIoU,craig,c,0.5,cossim,ViT,,
1623,1693200887,10,0.4308986366,craig_ViT_05,valid_mIoU,craig,c,0.5,cossim,ViT,,
1624,1693202410,11,0.4260757267,craig_ViT_05,valid_mIoU,craig,c,0.5,cossim,ViT,,
1625,1693203931,12,0.4330221415,craig_ViT_05,valid_mIoU,craig,c,0.5,cossim,ViT,,
1626,1693205454,13,0.4402024746,craig_ViT_05,valid_mIoU,craig,c,0.5,cossim,ViT,,
1627,1693206976,14,0.4374973476,craig_ViT_05,valid_mIoU,craig,c,0.5,cossim,ViT,,
1628,1693208498,15,0.4435397089,craig_ViT_05,valid_mIoU,craig,c,0.5,cossim,ViT,,
1629,1693210021,16,0.445520401,craig_ViT_05,valid_mIoU,craig,c,0.5,cossim,ViT,,
1630,1693211543,17,0.4484505951,craig_ViT_05,valid_mIoU,craig,c,0.5,cossim,ViT,,
1631,1693213067,18,0.4393982589,craig_ViT_05,valid_mIoU,craig,c,0.5,cossim,ViT,,
1632,1693214591,19,0.4479317665,craig_ViT_05,valid_mIoU,craig,c,0.5,cossim,ViT,,
1724,1693123313,0,0.3425610065,craig_ViT_05,valid_mIoU,craig,a,0.5,cossim,ViT,,
1725,1693124835,1,0.3814701438,craig_ViT_05,valid_mIoU,craig,a,0.5,cossim,ViT,,
1726,1693126357,2,0.3932842314,craig_ViT_05,valid_mIoU,craig,a,0.5,cossim,ViT,,
1727,1693127878,3,0.40790236,craig_ViT_05,valid_mIoU,craig,a,0.5,cossim,ViT,,
1728,1693129400,4,0.418698281,craig_ViT_05,valid_mIoU,craig,a,0.5,cossim,ViT,,
1729,1693130923,5,0.4124594033,craig_ViT_05,valid_mIoU,craig,a,0.5,cossim,ViT,,
1730,1693132448,6,0.4272874594,craig_ViT_05,valid_mIoU,craig,a,0.5,cossim,ViT,,
1731,1693133970,7,0.4281689823,craig_ViT_05,valid_mIoU,craig,a,0.5,cossim,ViT,,
1732,1693135492,8,0.4312939346,craig_ViT_05,valid_mIoU,craig,a,0.5,cossim,ViT,,
1733,1693137015,9,0.4385803342,craig_ViT_05,valid_mIoU,craig,a,0.5,cossim,ViT,,
1734,1693138540,10,0.4360871911,craig_ViT_05,valid_mIoU,craig,a,0.5,cossim,ViT,,
1735,1693140063,11,0.4233232439,craig_ViT_05,valid_mIoU,craig,a,0.5,cossim,ViT,,
1736,1693141585,12,0.439042598,craig_ViT_05,valid_mIoU,craig,a,0.5,cossim,ViT,,
1737,1693143108,13,0.4437367022,craig_ViT_05,valid_mIoU,craig,a,0.5,cossim,ViT,,
1738,1693144631,14,0.4455599785,craig_ViT_05,valid_mIoU,craig,a,0.5,cossim,ViT,,
1739,1693146153,15,0.4488688707,craig_ViT_05,valid_mIoU,craig,a,0.5,cossim,ViT,,
1740,1693147676,16,0.4504035115,craig_ViT_05,valid_mIoU,craig,a,0.5,cossim,ViT,,
1741,1693149198,17,0.4508563876,craig_ViT_05,valid_mIoU,craig,a,0.5,cossim,ViT,,
1742,1693150721,18,0.4529614449,craig_ViT_05,valid_mIoU,craig,a,0.5,cossim,ViT,,
1743,1693152245,19,0.4509221911,craig_ViT_05,valid_mIoU,craig,a,0.5,cossim,ViT,,
