,class,inv_oracle_weigthing,train_set_prop,adaptive_random,oracle_bs_0,oracle_bs_003,oracle_bs_00113,invprop_bs_0
0,0,0.77,0.01215279349,0.79,0.77,0.76,0.75,0.75
1,1,0.13,0.001009429922,0.12,0.15,0.12,0.13,0.12
2,2,0.08,0.002956564604,0.08,0.09,0.08,0.08,0.08
3,3,0.24,0.007247058345,0.27,0.25,0.23,0.23,0.25
4,4,0.02,0.0006454529631,0.03,0.06,0.06,0.06,0.04
5,5,0.7,0.009953851897,0.69,0.68,0.67,0.69,0.66
6,6,0.75,0.01415779782,0.8,0.77,0.76,0.69,0.78
7,7,0.57,0.010335594,0.61,0.6,0.57,0.55,0.57
8,8,0.35,0.001605927153,0.38,0.33,0.36,0.37,0.34
9,9,0.7,0.006115126712,0.72,0.7,0.68,0.68,0.7
10,10,0.5,0.06414178001,0.53,0.53,0.51,0.52,0.46
11,11,0.8,0.01754738464,0.86,0.82,0.82,0.83,0.82
12,12,0.27,0.007588686229,0.31,0.28,0.29,0.29,0.28
13,13,0.78,0.02978426757,0.81,0.79,0.79,0.78,0.77
14,14,0.79,0.04678164369,0.78,0.78,0.78,0.77,0.69
15,15,0.46,0.005031750986,0.47,0.46,0.45,0.47,0.41
16,16,0.35,0.01668271365,0.37,0.38,0.37,0.38,0.35
17,17,0.11,0.007850035965,0.12,0.14,0.13,0.14,0.11
18,18,0.21,0.001123849788,0.27,0.22,0.28,0.24,0.26
19,19,0.55,0.007770292715,0.68,0.66,0.62,0.62,0.64
20,20,0.29,0.001045832264,0.29,0.3,0.27,0.27,0.3
21,21,0.35,0.004510533025,0.38,0.35,0.35,0.35,0.32
22,22,0.75,0.04339076771,0.75,0.73,0.72,0.72,0.7
23,23,0.11,0.00438548865,0.16,0.17,0.18,0.2,0.16
24,24,0.3,0.01149175928,0.32,0.32,0.31,0.3,0.31
25,25,0.58,0.0272018052,0.6,0.6,0.6,0.59,0.54
26,26,0.14,0.001851976602,0.15,0.15,0.1,0.15,0.15
27,27,0.22,0.001042462938,0.21,0.27,0.25,0.25,0.32
28,28,0.73,0.06344260368,0.74,0.74,0.72,0.74,0.72
29,29,0.44,0.06025682006,0.47,0.45,0.45,0.45,0.38
30,30,0.65,0.01323088938,0.72,0.69,0.68,0.68,0.68
31,31,0.61,0.0009858100563,0.68,0.64,0.66,0.68,0.62
32,32,0.37,0.001152006033,0.39,0.37,0.38,0.37,0.26
33,33,0.73,0.01453842582,0.74,0.72,0.72,0.72,0.7
34,34,0.42,0.01004614421,0.43,0.45,0.44,0.43,0.38
35,35,0.15,6.49e-05,0.05,0.38,0.48,0.41,0.36
36,36,0.8,0.09766041658,0.81,0.81,0.81,0.82,0.77
37,37,0.15,0.001019039742,0.18,2.2,0.18,0.17,2.5
38,38,0.34,0.00266660477,0.31,0.39,0.39,0.35,0.31
39,39,0.39,0.007460000215,0.63,0.6,0.57,0.6,0.53
40,40,0.41,0.02417154765,0.45,0.45,0.42,0.45,0.42
41,41,0.25,0.003888903081,0.27,0.28,0.28,0.27,0.27
42,42,0.61,0.008735800363,0.68,0.65,0.63,0.67,0.71
43,43,0.19,0.00383275052,0.2,0.2,0.21,0.25,0.19
44,44,0.13,0.003395482604,0.14,0.17,0.17,0.17,0.14
45,45,0.26,0.001347001215,0.33,0.35,0.33,0.33,0.31
46,46,0.91,0.08864673862,0.92,0.91,0.91,0.91,0.89
47,47,0.44,0.00465424161,0.49,0.49,0.41,0.45,0.49
48,48,0.32,0.01925974383,0.28,0.38,0.39,0.42,0.39
49,49,0.47,0.009289787673,0.49,0.47,0.5,0.51,0.44
50,50,0.58,0.003061815537,0.59,0.59,0.58,0.57,0.54
51,51,0.75,0.01825196291,0.75,0.75,0.75,0.76,0.75
52,52,0.73,0.05940971862,0.72,0.71,0.71,0.72,0.69
53,53,0.2,0.001010404627,0.25,0.24,0.2,0.19,0.24
54,54,0.7,0.01005573242,0.71,0.67,0.69,0.66,0.62
55,55,0.58,0.06012589611,0.6,0.55,0.68,0.69,0.53
56,56,0.7,0.0303368836,0.73,0.72,0.5,0.6,0.72
57,57,0.29,0.008723271828,0.32,0.31,0.32,0.33,0.28
58,58,0.13,0.00387598877,0.16,0.14,0.15,0.16,0.14
